HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,
Oldham,Bradford,2.00,1.00,2.00,1.00,17.00,13.00,7.00,5.00,11.00,11.00,7.00,4.00,0.00,1.00,0.00,1.00,
Port Vale,Leyton Orient,3.00,0.00,0.00,0.00,12.00,5.00,5.00,1.00,14.00,13.00,2.00,9.00,2.00,1.00,0.00,1.00,
Preston,Fleetwood Town,3.00,2.00,0.00,2.00,17.00,6.00,5.00,2.00,7.00,15.00,8.00,2.00,0.00,3.00,0.00,0.00,
Scunthorpe,Notts County,0.00,1.00,0.00,0.00,16.00,10.00,4.00,3.00,12.00,6.00,6.00,7.00,3.00,2.00,0.00,0.00,
Swindon,Colchester,2.00,2.00,1.00,0.00,14.00,6.00,7.00,3.00,2.00,7.00,3.00,9.00,0.00,3.00,0.00,0.00,
Walsall,Chesterfield,1.00,0.00,0.00,0.00,7.00,9.00,3.00,4.00,8.00,13.00,6.00,4.00,0.00,2.00,0.00,0.00,
Yeovil,Rochdale,0.00,3.00,0.00,2.00,8.00,12.00,3.00,9.00,17.00,11.00,3.00,7.00,2.00,0.00,0.00,0.00,
Chesterfield,Swindon,0.00,3.00,0.00,2.00,10.00,14.00,2.00,5.00,14.00,8.00,8.00,0.00,3.00,1.00,0.00,0.00,
Leyton Orient,Preston,0.00,2.00,0.00,1.00,5.00,11.00,2.00,4.00,17.00,12.00,5.00,2.00,4.00,2.00,0.00,0.00,
Bradford,Doncaster,1.00,2.00,1.00,0.00,14.00,8.00,8.00,4.00,15.00,17.00,9.00,2.00,1.00,3.00,0.00,0.00,
Bristol City,Oldham,1.00,0.00,0.00,0.00,8.00,9.00,2.00,1.00,10.00,12.00,6.00,7.00,2.00,1.00,0.00,0.00,
