HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,
Bristol City,Peterboro,0.00,3.00,0.00,1.00,10.00,10.00,3.00,5.00,9.00,10.00,10.00,5.00,2.00,2.00,0.00,0.00,
Carlisle,Sheffield United,1.00,0.00,0.00,0.00,8.00,8.00,4.00,3.00,17.00,16.00,9.00,5.00,4.00,2.00,0.00,0.00,
Crawley Town,Shrewsbury,1.00,1.00,0.00,0.00,16.00,15.00,8.00,5.00,7.00,8.00,10.00,2.00,1.00,0.00,0.00,0.00,
Crewe,Walsall,0.00,3.00,0.00,0.00,11.00,11.00,3.00,7.00,12.00,10.00,8.00,4.00,0.00,0.00,0.00,0.00,
Leyton Orient,Port Vale,3.00,2.00,2.00,1.00,15.00,9.00,9.00,2.00,14.00,10.00,5.00,3.00,3.00,4.00,0.00,0.00,
Milton Keynes Dons,Notts County,3.00,1.00,2.00,0.00,18.00,6.00,10.00,3.00,9.00,13.00,11.00,1.00,1.00,3.00,0.00,0.00,
Preston,Stevenage,3.00,0.00,1.00,0.00,22.00,13.00,9.00,2.00,9.00,12.00,3.00,8.00,0.00,3.00,0.00,0.00,
Rotherham,Oldham,3.00,2.00,1.00,1.00,17.00,7.00,9.00,6.00,9.00,11.00,10.00,2.00,0.00,2.00,0.00,1.00,
Tranmere,Brentford,3.00,4.00,1.00,2.00,11.00,16.00,7.00,7.00,9.00,11.00,10.00,5.00,2.00,0.00,0.00,0.00,
Wolves,Swindon,3.00,2.00,2.00,0.00,11.00,23.00,6.00,9.00,10.00,12.00,4.00,9.00,2.00,3.00,0.00,0.00,
Coventry,Gillingham,2.00,1.00,1.00,1.00,25.00,6.00,8.00,3.00,9.00,8.00,7.00,5.00,1.00,2.00,0.00,0.00,
Bristol City,Shrewsbury,1.00,1.00,0.00,1.00,11.00,10.00,5.00,2.00,11.00,7.00,14.00,3.00,1.00,1.00,0.00,0.00,
Leyton Orient,Notts County,5.00,1.00,2.00,0.00,12.00,13.00,10.00,6.00,12.00,10.00,5.00,6.00,1.00,3.00,0.00,0.00,
Wolves,Walsall,0.00,1.00,0.00,0.00,16.00,13.00,3.00,4.00,13.00,7.00,8.00,5.00,2.00,1.00,0.00,0.00,
Colchester,Crawley Town,1.00,1.00,1.00,1.00,11.00,9.00,5.00,4.00,9.00,5.00,5.00,6.00,2.00,0.00,0.00,0.00,
Gillingham,Bradford,0.00,1.00,0.00,1.00,12.00,12.00,3.00,2.00,13.00,14.00,8.00,6.00,1.00,2.00,0.00,0.00,
Notts County,Tranmere,2.00,0.00,1.00,0.00,17.00,8.00,6.00,2.00,16.00,7.00,6.00,4.00,2.00,2.00,0.00,0.00,
Oldham,Crewe,1.00,1.00,0.00,1.00,10.00,9.00,5.00,7.00,14.00,9.00,3.00,5.00,1.00,1.00,0.00,0.00,
Peterboro,Milton Keynes Dons,2.00,1.00,2.00,0.00,3.00,20.00,1.00,11.00,8.00,11.00,3.00,13.00,4.00,0.00,2.00,0.00,
Port Vale,Coventry,3.00,2.00,1.00,2.00,17.00,14.00,8.00,2.00,10.00,11.00,6.00,8.00,1.00,1.00,0.00,0.00,
Sheffield United,Preston,0.00,1.00,0.00,0.00,12.00,6.00,3.00,3.00,12.00,12.00,10.00,4.00,1.00,1.00,0.00,0.00,
Shrewsbury,Wolves,0.00,1.00,0.00,0.00,11.00,9.00,4.00,3.00,5.00,13.00,3.00,8.00,0.00,2.00,1.00,0.00,
Stevenage,Carlisle,1.00,3.00,0.00,1.00,7.00,9.00,1.00,4.00,20.00,13.00,4.00,6.00,3.00,5.00,0.00,0.00,
Swindon,Bristol City,3.00,2.00,2.00,2.00,11.00,8.00,6.00,3.00,10.00,11.00,7.00,4.00,2.00,2.00,0.00,0.00,
Walsall,Rotherham,1.00,1.00,1.00,1.00,11.00,9.00,2.00,4.00,4.00,11.00,5.00,3.00,2.00,3.00,0.00,0.00,
Brentford,Leyton Orient,0.00,2.00,0.00,0.00,17.00,7.00,5.00,2.00,12.00,14.00,8.00,2.00,3.00,3.00,0.00,0.00,
Bradford,Shrewsbury,2.00,1.00,0.00,1.00,15.00,13.00,8.00,5.00,8.00,12.00,7.00,2.00,1.00,2.00,0.00,1.00,
Bristol City,Colchester,1.00,1.00,0.00,1.00,23.00,8.00,7.00,3.00,5.00,10.00,15.00,3.00,1.00,3.00,0.00,0.00,
Carlisle,Notts County,2.00,1.00,1.00,1.00,13.00,19.00,6.00,10.00,14.00,9.00,1.00,6.00,1.00,0.00,0.00,0.00,
Crawley Town,Oldham,1.00,0.00,1.00,0.00,12.00,7.00,2.00,2.00,14.00,13.00,4.00,6.00,1.00,3.00,0.00,0.00,
Crewe,Gillingham,0.00,3.00,0.00,1.00,6.00,16.00,3.00,5.00,3.00,5.00,6.00,4.00,0.00,0.00,0.00,0.00,
Leyton Orient,Walsall,1.00,1.00,1.00,0.00,15.00,4.00,9.00,2.00,9.00,7.00,12.00,5.00,1.00,1.00,1.00,1.00,
Milton Keynes Dons,Stevenage,4.00,1.00,3.00,1.00,14.00,7.00,5.00,1.00,9.00,12.00,6.00,0.00,0.00,1.00,0.00,0.00,
Preston,Swindon,2.00,1.00,1.00,0.00,12.00,7.00,4.00,3.00,7.00,10.00,1.00,5.00,1.00,1.00,0.00,0.00,
Rotherham,Peterboro,0.00,1.00,0.00,0.00,20.00,5.00,5.00,1.00,13.00,12.00,8.00,6.00,4.00,0.00,0.00,0.00,
Tranmere,Port Vale,0.00,1.00,0.00,0.00,12.00,21.00,3.00,10.00,10.00,12.00,5.00,7.00,2.00,4.00,1.00,0.00,
Wolves,Sheffield United,2.00,0.00,0.00,0.00,11.00,12.00,6.00,3.00,10.00,7.00,7.00,5.00,2.00,1.00,0.00,0.00,
Coventry,Brentford,0.00,2.00,0.00,1.00,5.00,13.00,2.00,8.00,11.00,7.00,4.00,9.00,1.00,0.00,0.00,0.00,
Sheffield United,Crawley Town,1.00,1.00,0.00,1.00,13.00,13.00,6.00,3.00,9.00,12.00,8.00,10.00,1.00,3.00,0.00,0.00,
Brentford,Rotherham,0.00,1.00,0.00,1.00,15.00,10.00,5.00,2.00,11.00,17.00,7.00,4.00,1.00,6.00,0.00,0.00,
Colchester,Wolves,0.00,3.00,0.00,1.00,13.00,17.00,8.00,6.00,7.00,13.00,8.00,7.00,2.00,2.00,0.00,0.00,
Gillingham,Milton Keynes Dons,3.00,2.00,2.00,2.00,13.00,11.00,5.00,7.00,20.00,12.00,6.00,4.00,2.00,2.00,0.00,1.00,
Notts County,Crewe,4.00,0.00,2.00,0.00,8.00,15.00,4.00,7.00,19.00,10.00,1.00,4.00,1.00,1.00,0.00,0.00,
Oldham,Leyton Orient,1.00,1.00,1.00,0.00,14.00,6.00,9.00,3.00,15.00,23.00,4.00,3.00,0.00,2.00,0.00,0.00,
Peterboro,Preston,2.00,0.00,2.00,0.00,13.00,12.00,9.00,4.00,8.00,14.00,8.00,8.00,1.00,2.00,0.00,0.00,
Port Vale,Bristol City,1.00,1.00,0.00,0.00,10.00,15.00,3.00,5.00,10.00,7.00,3.00,8.00,3.00,1.00,0.00,0.00,
Shrewsbury,Carlisle,2.00,2.00,1.00,0.00,9.00,13.00,3.00,5.00,5.00,4.00,10.00,9.00,1.00,0.00,0.00,0.00,
Stevenage,Coventry,0.00,1.00,0.00,1.00,10.00,13.00,3.00,3.00,15.00,14.00,4.00,4.00,2.00,1.00,0.00,0.00,
Swindon,Tranmere,1.00,0.00,1.00,0.00,11.00,4.00,5.00,1.00,16.00,9.00,5.00,3.00,1.00,1.00,0.00,0.00,
Walsall,Bradford,0.00,2.00,0.00,1.00,15.00,8.00,4.00,3.00,6.00,2.00,6.00,3.00,0.00,0.00,0.00,0.00,
Colchester,Walsall,1.00,1.00,1.00,0.00,9.00,18.00,4.00,7.00,10.00,12.00,1.00,15.00,2.00,1.00,0.00,0.00,
Leyton Orient,Milton Keynes Dons,2.00,1.00,1.00,1.00,15.00,11.00,5.00,2.00,19.00,14.00,8.00,5.00,1.00,0.00,0.00,0.00,
Port Vale,Peterboro,0.00,1.00,0.00,0.00,6.00,16.00,4.00,7.00,12.00,14.00,5.00,7.00,2.00,4.00,0.00,0.00,
Preston,Crewe,0.00,2.00,0.00,1.00,15.00,7.00,2.00,2.00,21.00,17.00,7.00,3.00,2.00,3.00,0.00,0.00,
Rotherham,Swindon,0.00,4.00,0.00,2.00,6.00,10.00,0.00,6.00,13.00,8.00,7.00,3.00,4.00,3.00,0.00,0.00,
Shrewsbury,Gillingham,2.00,0.00,1.00,0.00,17.00,11.00,5.00,5.00,11.00,13.00,8.00,5.00,0.00,1.00,0.00,0.00,
Stevenage,Brentford,2.00,1.00,2.00,1.00,6.00,10.00,5.00,5.00,18.00,7.00,5.00,6.00,2.00,2.00,0.00,0.00,
Bradford,Tranmere,0.00,1.00,0.00,0.00,13.00,9.00,4.00,3.00,14.00,6.00,8.00,3.00,3.00,3.00,0.00,0.00,
Coventry,Sheffield United,3.00,2.00,2.00,0.00,14.00,13.00,6.00,6.00,15.00,13.00,5.00,5.00,3.00,2.00,0.00,0.00,
Swindon,Notts County,2.00,0.00,2.00,0.00,16.00,5.00,7.00,2.00,10.00,11.00,8.00,5.00,2.00,3.00,0.00,0.00,
Brentford,Colchester,3.00,1.00,0.00,0.00,11.00,4.00,6.00,3.00,11.00,16.00,13.00,4.00,1.00,0.00,0.00,0.00,
Crawley Town,Bradford,1.00,0.00,0.00,0.00,14.00,7.00,10.00,2.00,9.00,12.00,5.00,8.00,1.00,0.00,0.00,0.00,
Crewe,Bristol City,1.00,0.00,0.00,0.00,16.00,6.00,6.00,1.00,8.00,12.00,3.00,7.00,2.00,2.00,0.00,0.00,
Gillingham,Preston,1.00,2.00,0.00,0.00,7.00,10.00,4.00,2.00,14.00,14.00,2.00,3.00,1.00,2.00,0.00,0.00,
Milton Keynes Dons,Rotherham,3.00,2.00,1.00,0.00,20.00,11.00,8.00,3.00,6.00,16.00,8.00,1.00,3.00,3.00,0.00,1.00,
Oldham,Carlisle,1.00,0.00,1.00,0.00,14.00,9.00,6.00,2.00,13.00,9.00,9.00,7.00,3.00,2.00,0.00,0.00,
Peterboro,Shrewsbury,1.00,0.00,0.00,0.00,12.00,11.00,1.00,4.00,7.00,4.00,6.00,3.00,0.00,0.00,0.00,0.00,
Sheffield United,Port Vale,2.00,1.00,1.00,1.00,17.00,6.00,9.00,3.00,13.00,17.00,7.00,4.00,2.00,2.00,0.00,1.00,
Tranmere,Leyton Orient,0.00,4.00,0.00,1.00,5.00,12.00,2.00,4.00,7.00,8.00,5.00,4.00,2.00,1.00,1.00,0.00,
Walsall,Stevenage,2.00,1.00,1.00,0.00,18.00,6.00,6.00,2.00,7.00,14.00,5.00,7.00,1.00,2.00,0.00,1.00,
Wolves,Coventry,1.00,1.00,0.00,0.00,9.00,8.00,2.00,2.00,10.00,11.00,8.00,5.00,1.00,2.00,0.00,0.00,
Bristol City,Brentford,1.00,2.00,0.00,0.00,7.00,7.00,1.00,2.00,9.00,10.00,9.00,3.00,0.00,0.00,0.00,0.00,
Coventry,Leyton Orient,3.00,1.00,1.00,0.00,9.00,4.00,7.00,3.00,15.00,12.00,3.00,5.00,2.00,2.00,0.00,0.00,
Crawley Town,Port Vale,0.00,3.00,0.00,2.00,17.00,13.00,3.00,8.00,4.00,11.00,8.00,5.00,0.00,3.00,0.00,0.00,
Crewe,Stevenage,0.00,3.00,0.00,3.00,4.00,10.00,2.00,5.00,9.00,17.00,8.00,5.00,0.00,2.00,0.00,0.00,
Gillingham,Notts County,2.00,1.00,2.00,0.00,13.00,16.00,9.00,5.00,11.00,9.00,3.00,8.00,1.00,1.00,0.00,0.00,
Milton Keynes Dons,Carlisle,0.00,1.00,0.00,1.00,14.00,8.00,3.00,2.00,10.00,8.00,9.00,2.00,1.00,1.00,0.00,0.00,
Peterboro,Sheffield United,0.00,0.00,0.00,0.00,9.00,7.00,3.00,1.00,11.00,12.00,4.00,4.00,1.00,2.00,0.00,0.00,
Preston,Bradford,2.00,2.00,1.00,1.00,13.00,16.00,4.00,5.00,19.00,12.00,8.00,4.00,2.00,0.00,0.00,0.00,
Rotherham,Tranmere,1.00,1.00,0.00,0.00,18.00,4.00,7.00,1.00,13.00,7.00,7.00,4.00,2.00,1.00,0.00,0.00,
Shrewsbury,Colchester,1.00,1.00,1.00,1.00,12.00,10.00,5.00,4.00,9.00,11.00,6.00,3.00,0.00,2.00,0.00,0.00,
Swindon,Walsall,1.00,3.00,0.00,1.00,8.00,13.00,3.00,7.00,11.00,10.00,5.00,9.00,2.00,2.00,0.00,0.00,
Wolves,Oldham,2.00,0.00,0.00,0.00,16.00,10.00,6.00,2.00,11.00,8.00,7.00,4.00,0.00,1.00,0.00,0.00,
Bradford,Wolves,1.00,2.00,1.00,2.00,12.00,14.00,5.00,5.00,9.00,13.00,5.00,7.00,2.00,2.00,0.00,0.00,
Brentford,Shrewsbury,1.00,0.00,1.00,0.00,25.00,9.00,7.00,4.00,13.00,10.00,3.00,6.00,1.00,2.00,0.00,0.00,
Carlisle,Bristol City,2.00,4.00,1.00,0.00,9.00,9.00,4.00,4.00,13.00,15.00,6.00,2.00,3.00,0.00,0.00,0.00,
Colchester,Peterboro,1.00,0.00,0.00,0.00,12.00,12.00,7.00,5.00,14.00,9.00,8.00,7.00,3.00,4.00,0.00,1.00,
Leyton Orient,Rotherham,1.00,0.00,1.00,0.00,14.00,10.00,10.00,1.00,6.00,18.00,6.00,4.00,1.00,2.00,0.00,0.00,
Notts County,Preston,0.00,1.00,0.00,0.00,10.00,16.00,4.00,7.00,18.00,14.00,5.00,7.00,3.00,2.00,0.00,0.00,
Oldham,Swindon,2.00,1.00,1.00,0.00,13.00,5.00,5.00,2.00,15.00,13.00,3.00,3.00,1.00,2.00,0.00,0.00,
Port Vale,Gillingham,2.00,1.00,0.00,1.00,13.00,11.00,8.00,2.00,7.00,11.00,6.00,9.00,0.00,0.00,0.00,0.00,
Sheffield United,Crewe,3.00,1.00,2.00,0.00,11.00,9.00,8.00,3.00,18.00,12.00,3.00,3.00,0.00,1.00,0.00,0.00,
Stevenage,Crawley Town,2.00,0.00,1.00,0.00,5.00,13.00,3.00,3.00,13.00,11.00,8.00,13.00,2.00,2.00,0.00,0.00,
Tranmere,Milton Keynes Dons,3.00,2.00,1.00,1.00,10.00,18.00,3.00,5.00,4.00,11.00,5.00,5.00,1.00,1.00,0.00,0.00,
Walsall,Coventry,0.00,1.00,0.00,0.00,6.00,9.00,2.00,4.00,7.00,13.00,4.00,10.00,1.00,1.00,0.00,0.00,
Notts County,Oldham,3.00,2.00,1.00,1.00,15.00,12.00,6.00,2.00,15.00,15.00,7.00,6.00,1.00,1.00,0.00,0.00,
Bristol City,Oldham,1.00,1.00,1.00,0.00,7.00,16.00,3.00,2.00,13.00,11.00,2.00,8.00,1.00,2.00,0.00,0.00,
Coventry,Notts County,3.00,0.00,0.00,0.00,18.00,3.00,11.00,0.00,13.00,12.00,6.00,2.00,2.00,2.00,0.00,1.00,
Crawley Town,Brentford,0.00,1.00,0.00,1.00,8.00,9.00,2.00,1.00,10.00,13.00,4.00,5.00,0.00,3.00,0.00,0.00,
Crewe,Bradford,0.00,0.00,0.00,0.00,9.00,15.00,4.00,5.00,7.00,10.00,8.00,7.00,0.00,2.00,0.00,0.00,
Gillingham,Carlisle,1.00,0.00,0.00,0.00,3.00,10.00,1.00,2.00,13.00,12.00,0.00,9.00,1.00,3.00,1.00,1.00,
Milton Keynes Dons,Walsall,1.00,0.00,0.00,0.00,6.00,10.00,1.00,1.00,9.00,8.00,3.00,5.00,1.00,0.00,0.00,0.00,
Peterboro,Leyton Orient,1.00,3.00,1.00,1.00,10.00,20.00,3.00,9.00,16.00,9.00,6.00,9.00,2.00,2.00,0.00,0.00,
Preston,Tranmere,1.00,1.00,0.00,0.00,16.00,6.00,7.00,3.00,16.00,9.00,4.00,3.00,3.00,2.00,0.00,0.00,
Rotherham,Colchester,2.00,2.00,2.00,1.00,16.00,10.00,7.00,3.00,14.00,8.00,5.00,4.00,2.00,3.00,0.00,0.00,
Shrewsbury,Sheffield United,2.00,0.00,1.00,0.00,4.00,14.00,2.00,2.00,10.00,9.00,1.00,6.00,0.00,1.00,0.00,1.00,
Swindon,Port Vale,5.00,2.00,1.00,0.00,12.00,6.00,11.00,2.00,5.00,16.00,4.00,0.00,1.00,3.00,0.00,0.00,
Wolves,Stevenage,2.00,0.00,1.00,0.00,10.00,13.00,3.00,5.00,11.00,14.00,5.00,6.00,2.00,1.00,0.00,0.00,
Bristol City,Crawley Town,2.00,0.00,0.00,0.00,11.00,8.00,6.00,2.00,9.00,11.00,3.00,3.00,2.00,0.00,0.00,0.00,
Carlisle,Wolves,2.00,2.00,1.00,2.00,9.00,11.00,4.00,6.00,8.00,16.00,6.00,6.00,0.00,1.00,0.00,0.00,
Brentford,Crewe,5.00,0.00,1.00,0.00,17.00,5.00,9.00,1.00,17.00,9.00,1.00,4.00,1.00,3.00,0.00,0.00,
Carlisle,Crawley Town,1.00,1.00,0.00,0.00,6.00,2.00,2.00,1.00,5.00,10.00,5.00,4.00,0.00,1.00,0.00,0.00,
Colchester,Swindon,1.00,2.00,0.00,1.00,10.00,10.00,4.00,4.00,6.00,11.00,5.00,6.00,1.00,2.00,0.00,0.00,
Leyton Orient,Preston,0.00,1.00,0.00,1.00,5.00,11.00,1.00,4.00,14.00,17.00,5.00,7.00,2.00,3.00,0.00,0.00,
Notts County,Wolves,0.00,1.00,0.00,0.00,15.00,11.00,1.00,7.00,8.00,13.00,9.00,5.00,3.00,2.00,0.00,0.00,
Port Vale,Shrewsbury,3.00,1.00,2.00,0.00,11.00,12.00,5.00,5.00,8.00,6.00,11.00,3.00,2.00,1.00,0.00,0.00,
Sheffield United,Gillingham,1.00,2.00,1.00,1.00,11.00,3.00,5.00,3.00,8.00,12.00,10.00,1.00,2.00,2.00,0.00,0.00,
Stevenage,Rotherham,0.00,3.00,0.00,1.00,8.00,9.00,4.00,8.00,13.00,12.00,6.00,6.00,1.00,1.00,0.00,0.00,
Tranmere,Bristol City,1.00,1.00,1.00,1.00,14.00,7.00,5.00,5.00,5.00,13.00,8.00,3.00,1.00,2.00,0.00,0.00,
Bradford,Coventry,3.00,3.00,2.00,3.00,20.00,19.00,7.00,9.00,11.00,20.00,7.00,9.00,1.00,3.00,0.00,0.00,
Walsall,Peterboro,2.00,0.00,1.00,0.00,24.00,5.00,11.00,3.00,9.00,16.00,4.00,4.00,0.00,2.00,0.00,1.00,
Bristol City,Sheffield United,0.00,1.00,0.00,0.00,8.00,5.00,2.00,2.00,14.00,13.00,5.00,0.00,0.00,2.00,0.00,0.00,
Coventry,Tranmere,1.00,5.00,0.00,3.00,11.00,7.00,4.00,5.00,7.00,7.00,7.00,5.00,1.00,1.00,0.00,1.00,
Crawley Town,Walsall,0.00,0.00,0.00,0.00,9.00,9.00,2.00,3.00,9.00,10.00,2.00,4.00,1.00,2.00,0.00,0.00,
Crewe,Port Vale,1.00,2.00,1.00,1.00,12.00,10.00,3.00,5.00,11.00,11.00,5.00,8.00,1.00,0.00,0.00,0.00,
Gillingham,Oldham,0.00,1.00,0.00,0.00,4.00,11.00,1.00,6.00,15.00,7.00,2.00,9.00,3.00,3.00,0.00,1.00,
Milton Keynes Dons,Bradford,2.00,3.00,1.00,2.00,20.00,9.00,8.00,4.00,12.00,21.00,7.00,6.00,2.00,2.00,0.00,0.00,
Peterboro,Stevenage,0.00,1.00,0.00,1.00,8.00,7.00,2.00,3.00,17.00,16.00,3.00,4.00,2.00,5.00,0.00,1.00,
Preston,Colchester,1.00,1.00,1.00,0.00,26.00,4.00,7.00,1.00,7.00,15.00,14.00,1.00,0.00,0.00,0.00,0.00,
Rotherham,Carlisle,0.00,0.00,0.00,0.00,19.00,6.00,6.00,2.00,12.00,15.00,6.00,6.00,0.00,0.00,0.00,1.00,
Shrewsbury,Notts County,1.00,0.00,0.00,0.00,14.00,15.00,7.00,6.00,9.00,13.00,6.00,9.00,0.00,1.00,0.00,0.00,
Swindon,Leyton Orient,1.00,3.00,1.00,2.00,9.00,11.00,3.00,6.00,16.00,13.00,5.00,6.00,2.00,2.00,1.00,0.00,
Wolves,Brentford,0.00,0.00,0.00,0.00,11.00,11.00,3.00,7.00,12.00,11.00,6.00,4.00,0.00,2.00,0.00,0.00,
Bradford,Notts County,1.00,1.00,0.00,1.00,13.00,9.00,7.00,5.00,14.00,14.00,5.00,2.00,0.00,4.00,0.00,1.00,
Brentford,Peterboro,3.00,2.00,1.00,0.00,12.00,10.00,9.00,4.00,13.00,9.00,6.00,4.00,0.00,2.00,0.00,0.00,
Bristol City,Leyton Orient,2.00,2.00,0.00,1.00,19.00,7.00,5.00,5.00,14.00,14.00,9.00,4.00,2.00,2.00,0.00,0.00,
Carlisle,Crewe,2.00,1.00,2.00,0.00,14.00,9.00,5.00,6.00,11.00,11.00,4.00,11.00,1.00,1.00,0.00,0.00,
Colchester,Milton Keynes Dons,3.00,1.00,2.00,0.00,18.00,11.00,6.00,4.00,9.00,6.00,5.00,10.00,1.00,0.00,0.00,0.00,
Coventry,Rotherham,0.00,3.00,0.00,0.00,9.00,6.00,2.00,3.00,10.00,9.00,2.00,2.00,2.00,0.00,0.00,0.00,
Crawley Town,Swindon,0.00,0.00,0.00,0.00,12.00,8.00,7.00,0.00,10.00,11.00,2.00,8.00,1.00,1.00,0.00,1.00,
Gillingham,Stevenage,3.00,2.00,0.00,1.00,10.00,7.00,6.00,3.00,6.00,12.00,8.00,3.00,0.00,1.00,0.00,0.00,
Port Vale,Preston,0.00,2.00,0.00,1.00,4.00,7.00,2.00,5.00,19.00,9.00,13.00,4.00,5.00,3.00,0.00,1.00,
Sheffield United,Walsall,1.00,1.00,1.00,0.00,6.00,5.00,1.00,3.00,11.00,6.00,5.00,2.00,0.00,0.00,0.00,0.00,
Shrewsbury,Oldham,1.00,2.00,1.00,1.00,12.00,10.00,8.00,3.00,8.00,12.00,4.00,3.00,2.00,0.00,0.00,0.00,
Wolves,Tranmere,2.00,0.00,2.00,0.00,23.00,5.00,8.00,1.00,5.00,8.00,7.00,2.00,0.00,2.00,0.00,0.00,
Crewe,Crawley Town,1.00,0.00,0.00,0.00,8.00,13.00,4.00,4.00,5.00,13.00,4.00,5.00,0.00,2.00,1.00,0.00,
Leyton Orient,Sheffield United,1.00,1.00,0.00,0.00,15.00,5.00,7.00,3.00,13.00,14.00,5.00,4.00,2.00,3.00,0.00,0.00,
Milton Keynes Dons,Coventry,1.00,3.00,1.00,0.00,10.00,13.00,3.00,6.00,16.00,21.00,3.00,7.00,2.00,2.00,0.00,0.00,
Notts County,Brentford,0.00,1.00,0.00,1.00,20.00,15.00,7.00,4.00,9.00,9.00,9.00,3.00,2.00,2.00,0.00,0.00,
Peterboro,Wolves,1.00,0.00,0.00,0.00,6.00,15.00,1.00,5.00,13.00,12.00,1.00,3.00,1.00,2.00,0.00,0.00,
Preston,Bristol City,1.00,0.00,1.00,0.00,13.00,9.00,7.00,2.00,15.00,7.00,9.00,3.00,2.00,0.00,1.00,1.00,
Rotherham,Gillingham,4.00,1.00,3.00,0.00,24.00,8.00,6.00,2.00,9.00,6.00,12.00,6.00,0.00,0.00,0.00,0.00,
Stevenage,Shrewsbury,1.00,3.00,1.00,2.00,12.00,11.00,5.00,7.00,9.00,4.00,15.00,3.00,0.00,0.00,0.00,0.00,
Swindon,Carlisle,3.00,1.00,1.00,0.00,10.00,5.00,5.00,2.00,13.00,13.00,5.00,1.00,0.00,2.00,0.00,0.00,
Tranmere,Colchester,2.00,1.00,1.00,0.00,14.00,18.00,8.00,7.00,9.00,9.00,11.00,6.00,0.00,1.00,0.00,0.00,
Walsall,Port Vale,0.00,2.00,0.00,1.00,17.00,6.00,6.00,3.00,6.00,17.00,12.00,2.00,1.00,0.00,0.00,0.00,
Oldham,Bradford,1.00,1.00,1.00,1.00,15.00,10.00,3.00,1.00,14.00,13.00,8.00,6.00,1.00,3.00,0.00,0.00,
Notts County,Gillingham,3.00,1.00,1.00,0.00,5.00,10.00,3.00,4.00,8.00,12.00,8.00,10.00,1.00,0.00,0.00,0.00,
Bradford,Leyton Orient,1.00,1.00,0.00,1.00,13.00,9.00,4.00,1.00,11.00,12.00,10.00,6.00,0.00,2.00,0.00,0.00,
Brentford,Oldham,1.00,0.00,0.00,0.00,9.00,9.00,3.00,1.00,14.00,12.00,10.00,2.00,3.00,2.00,0.00,0.00,
Bristol City,Rotherham,1.00,2.00,0.00,2.00,15.00,14.00,7.00,8.00,10.00,9.00,11.00,6.00,0.00,0.00,0.00,0.00,
Carlisle,Tranmere,4.00,1.00,1.00,0.00,17.00,7.00,6.00,1.00,9.00,6.00,11.00,8.00,2.00,2.00,0.00,0.00,
Colchester,Notts County,0.00,4.00,0.00,2.00,14.00,17.00,6.00,12.00,11.00,8.00,1.00,8.00,2.00,2.00,0.00,0.00,
Coventry,Crewe,2.00,2.00,1.00,1.00,13.00,7.00,5.00,3.00,12.00,13.00,5.00,5.00,1.00,1.00,0.00,0.00,
Crawley Town,Preston,2.00,2.00,0.00,2.00,13.00,11.00,4.00,4.00,6.00,14.00,6.00,4.00,0.00,3.00,0.00,0.00,
Gillingham,Peterboro,2.00,2.00,0.00,1.00,6.00,13.00,5.00,7.00,12.00,10.00,1.00,7.00,1.00,1.00,0.00,0.00,
Port Vale,Stevenage,2.00,2.00,1.00,2.00,9.00,10.00,4.00,6.00,6.00,11.00,10.00,6.00,3.00,3.00,0.00,1.00,
Sheffield United,Swindon,1.00,0.00,0.00,0.00,5.00,5.00,3.00,3.00,12.00,8.00,7.00,3.00,2.00,2.00,0.00,0.00,
Shrewsbury,Walsall,0.00,1.00,0.00,0.00,9.00,10.00,3.00,5.00,13.00,2.00,5.00,4.00,1.00,1.00,0.00,0.00,
Wolves,Milton Keynes Dons,0.00,2.00,0.00,1.00,13.00,12.00,5.00,7.00,16.00,12.00,5.00,3.00,2.00,1.00,0.00,0.00,
Tranmere,Gillingham,1.00,2.00,0.00,1.00,15.00,16.00,5.00,8.00,12.00,6.00,10.00,3.00,1.00,2.00,1.00,0.00,
Crewe,Shrewsbury,1.00,1.00,1.00,0.00,12.00,13.00,3.00,6.00,5.00,7.00,6.00,5.00,0.00,2.00,0.00,0.00,
Leyton Orient,Crawley Town,2.00,3.00,1.00,2.00,8.00,5.00,5.00,4.00,8.00,12.00,6.00,6.00,3.00,5.00,0.00,0.00,
Milton Keynes Dons,Port Vale,3.00,0.00,3.00,0.00,19.00,12.00,9.00,4.00,6.00,7.00,11.00,8.00,1.00,0.00,0.00,0.00,
Notts County,Bristol City,1.00,1.00,0.00,1.00,19.00,14.00,4.00,9.00,12.00,16.00,8.00,7.00,3.00,5.00,0.00,0.00,
Oldham,Colchester,0.00,2.00,0.00,2.00,18.00,6.00,3.00,1.00,7.00,17.00,8.00,2.00,1.00,2.00,0.00,0.00,
Peterboro,Bradford,2.00,1.00,2.00,0.00,17.00,10.00,6.00,4.00,12.00,8.00,7.00,3.00,1.00,1.00,0.00,0.00,
Preston,Brentford,0.00,3.00,0.00,2.00,14.00,11.00,6.00,5.00,18.00,12.00,6.00,2.00,4.00,2.00,0.00,0.00,
Rotherham,Wolves,3.00,3.00,2.00,1.00,14.00,7.00,5.00,4.00,14.00,7.00,4.00,5.00,0.00,3.00,0.00,0.00,
Stevenage,Sheffield United,0.00,0.00,0.00,0.00,8.00,9.00,0.00,1.00,19.00,13.00,0.00,7.00,3.00,0.00,0.00,0.00,
Swindon,Coventry,2.00,1.00,0.00,0.00,14.00,14.00,9.00,7.00,7.00,15.00,7.00,5.00,2.00,5.00,0.00,0.00,
