HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Crewe,Preston,03/05/2014,2,1,1,0,8,13,3,5,13,16,5,6,1,1,0,0
Gillingham,Shrewsbury,03/05/2014,1,1,0,0,16,8,8,3,9,8,6,2,1,1,0,0
Milton Keynes Dons,Leyton Orient,03/05/2014,1,3,0,2,9,12,6,6,7,11,4,5,0,0,0,0
Oldham,Notts County,03/05/2014,1,1,0,0,11,14,7,6,13,12,7,5,1,0,1,0
Peterboro,Port Vale,03/05/2014,0,0,0,0,15,7,4,2,12,12,5,1,0,0,0,0
Sheffield United,Coventry,03/05/2014,2,1,0,1,12,8,7,3,10,11,2,4,1,3,0,0
Swindon,Rotherham,03/05/2014,1,2,0,2,9,6,5,2,10,12,6,2,0,0,0,0
Tranmere,Bradford,03/05/2014,1,2,1,0,7,14,3,5,9,12,7,7,0,1,1,0
Walsall,Colchester,03/05/2014,0,1,0,0,17,4,6,3,6,7,6,2,0,0,0,0
Wolves,Carlisle,03/05/2014,3,0,2,0,16,17,4,3,10,10,3,3,1,0,0,0
Barnsley,Crawley Town,09/08/2014,0,1,0,0,13,12,7,5,15,20,3,3,1,4,1,0
Bradford,Coventry,09/08/2014,3,2,1,1,11,8,6,4,16,10,4,6,2,3,0,0
Colchester,Oldham,09/08/2014,2,2,1,2,13,10,5,3,6,5,8,4,0,0,0,0
Fleetwood Town,Crewe,09/08/2014,2,1,0,0,20,7,6,3,15,11,4,4,1,1,0,0
Leyton Orient,Chesterfield,09/08/2014,1,2,0,1,18,14,7,7,11,15,3,2,3,1,0,0
Milton Keynes Dons,Gillingham,09/08/2014,4,2,1,2,13,3,4,2,10,9,10,2,2,1,0,0
Port Vale,Walsall,09/08/2014,1,1,1,0,9,9,3,4,13,8,3,9,1,2,0,0
Preston,Notts County,09/08/2014,1,1,0,0,16,6,10,3,6,7,10,3,0,1,0,0
Rochdale,Peterboro,09/08/2014,0,1,0,0,13,8,5,4,8,9,7,5,1,0,0,0
Sheffield United,Bristol City,09/08/2014,1,2,1,1,18,16,5,6,11,7,5,2,2,1,0,0
Swindon,Scunthorpe,09/08/2014,3,1,3,1,8,9,3,5,6,13,6,4,2,0,0,1
Yeovil,Doncaster,09/08/2014,0,3,0,1,13,11,3,4,11,17,8,2,2,1,0,0
Bristol City,Colchester,16/08/2014,2,1,0,1,10,9,4,3,7,9,4,2,0,0,0,0
Chesterfield,Rochdale,16/08/2014,2,1,1,0,13,9,7,3,7,13,12,0,1,2,0,0
Coventry,Sheffield United,16/08/2014,1,0,0,0,11,4,5,1,15,14,3,2,0,2,0,0
Crawley Town,Swindon,16/08/2014,1,0,0,0,8,26,3,7,10,11,3,16,2,1,0,1
Crewe,Barnsley,16/08/2014,1,2,1,0,6,9,1,3,10,9,2,6,1,2,0,0
Doncaster,Port Vale,16/08/2014,1,3,0,3,9,14,4,5,12,8,4,7,0,0,1,0
Gillingham,Yeovil,16/08/2014,2,0,1,0,7,12,3,2,11,13,4,8,0,0,0,0
Notts County,Fleetwood Town,16/08/2014,0,1,0,1,9,10,3,5,8,6,3,9,0,0,0,0
Oldham,Leyton Orient,16/08/2014,1,3,1,1,6,5,1,3,10,12,6,4,0,2,0,0
Peterboro,Milton Keynes Dons,16/08/2014,3,2,1,0,12,8,6,4,9,10,10,7,3,2,0,0
Scunthorpe,Preston,16/08/2014,0,4,0,2,8,15,3,5,9,13,4,5,0,0,0,0
Walsall,Bradford,16/08/2014,0,0,0,0,9,10,2,3,7,20,8,4,0,1,0,0
Bristol City,Leyton Orient,19/08/2014,0,0,0,0,9,9,1,4,8,11,8,6,0,0,0,0
Chesterfield,Milton Keynes Dons,19/08/2014,0,1,0,0,13,8,2,3,8,8,14,2,2,3,0,0
Coventry,Barnsley,19/08/2014,2,2,2,2,16,10,9,3,16,13,4,5,1,2,0,0
Crawley Town,Bradford,19/08/2014,1,3,0,0,3,13,1,5,8,12,5,5,1,2,0,0
Crewe,Rochdale,19/08/2014,2,5,1,2,12,18,6,9,8,18,5,8,1,2,0,0
Doncaster,Preston,19/08/2014,1,1,0,0,11,11,4,6,10,14,9,5,0,2,0,0
Gillingham,Swindon,19/08/2014,2,2,1,1,5,14,3,9,10,10,1,8,2,1,0,0
Notts County,Colchester,19/08/2014,2,1,1,0,11,24,5,9,10,10,3,4,1,2,2,0
Oldham,Port Vale,19/08/2014,1,1,0,1,11,8,4,3,17,14,10,2,0,2,0,0
Peterboro,Sheffield United,19/08/2014,1,2,1,1,15,9,4,5,11,7,3,6,0,0,0,0
Scunthorpe,Fleetwood Town,19/08/2014,0,2,0,0,9,12,2,5,9,11,6,9,1,1,0,0
Walsall,Yeovil,19/08/2014,1,2,0,0,16,8,3,3,5,17,5,5,2,4,0,0
Barnsley,Gillingham,23/08/2014,4,1,2,0,13,5,6,3,8,12,5,2,1,1,0,0
Bradford,Peterboro,23/08/2014,0,1,0,0,9,11,4,3,8,13,4,7,0,1,0,0
Colchester,Doncaster,23/08/2014,0,1,0,0,9,12,2,4,16,6,3,2,2,0,0,0
Fleetwood Town,Chesterfield,23/08/2014,0,0,0,0,8,13,2,4,10,12,6,6,3,2,0,0
Leyton Orient,Walsall,23/08/2014,0,0,0,0,7,14,3,4,14,5,5,6,1,0,0,0
Milton Keynes Dons,Coventry,23/08/2014,0,0,0,0,13,8,6,5,14,24,5,2,2,2,0,0
Port Vale,Notts County,23/08/2014,0,2,0,1,24,11,6,6,15,11,18,2,1,2,0,0
Preston,Oldham,23/08/2014,1,0,1,0,14,12,2,3,14,11,3,4,2,1,0,0
Rochdale,Bristol City,23/08/2014,1,1,0,1,8,9,3,4,7,9,11,6,1,1,0,0
Sheffield United,Crawley Town,23/08/2014,1,0,0,0,13,7,3,1,11,18,7,7,1,1,0,0
Swindon,Crewe,23/08/2014,2,0,1,0,12,1,8,0,12,9,6,1,0,0,0,0
Yeovil,Scunthorpe,23/08/2014,1,1,0,0,11,5,3,4,13,14,12,2,3,3,0,0
Colchester,Peterboro,30/08/2014,1,3,0,2,23,17,10,9,10,13,2,2,0,1,0,1
Doncaster,Oldham,30/08/2014,0,2,0,1,6,10,1,4,14,9,4,8,1,2,0,0
Fleetwood Town,Leyton Orient,30/08/2014,1,1,0,1,18,16,10,5,13,12,9,5,2,1,0,0
Gillingham,Crewe,30/08/2014,2,0,2,0,16,5,8,4,15,7,5,2,0,1,0,0
Milton Keynes Dons,Crawley Town,30/08/2014,2,0,1,0,21,14,6,6,12,13,10,4,2,3,1,0
Port Vale,Chesterfield,30/08/2014,1,2,1,1,17,15,8,5,11,13,5,4,4,4,0,1
Preston,Sheffield United,30/08/2014,1,1,1,1,15,12,7,6,15,10,7,6,2,1,0,0
Rochdale,Bradford,30/08/2014,0,2,0,0,11,11,1,4,8,10,4,3,2,1,0,0
Scunthorpe,Walsall,30/08/2014,2,1,0,0,10,8,8,2,13,12,2,5,4,2,0,0
Swindon,Coventry,30/08/2014,1,1,0,1,9,8,4,4,4,16,10,3,2,1,0,0
Yeovil,Barnsley,30/08/2014,1,1,0,1,14,10,8,4,10,12,6,6,2,3,0,0
Notts County,Bristol City,31/08/2014,1,2,1,0,9,15,4,6,15,10,4,5,1,1,0,0
Coventry,Gillingham,05/09/2014,1,0,1,0,10,8,4,2,13,6,4,7,3,1,0,0
Bradford,Yeovil,06/09/2014,1,3,1,2,8,11,1,6,6,13,6,3,0,1,0,0
Bristol City,Scunthorpe,06/09/2014,2,0,0,0,19,10,10,2,4,10,16,7,0,1,0,0
Crawley Town,Rochdale,06/09/2014,0,4,0,1,12,13,4,8,11,14,3,5,1,2,0,0
Oldham,Fleetwood Town,06/09/2014,1,0,1,0,14,7,2,4,9,14,9,4,0,1,0,0
Peterboro,Port Vale,06/09/2014,3,1,1,0,18,9,6,5,9,11,8,6,1,3,0,0
Walsall,Colchester,06/09/2014,0,0,0,0,8,1,1,0,3,4,4,6,0,0,0,0
Barnsley,Milton Keynes Dons,13/09/2014,3,5,0,2,11,11,5,9,9,9,4,6,1,1,0,0
Bradford,Swindon,13/09/2014,1,2,1,2,8,6,4,3,11,12,7,8,3,2,1,0
Bristol City,Doncaster,13/09/2014,3,0,2,0,15,3,6,1,9,10,10,5,0,0,0,1
Chesterfield,Scunthorpe,13/09/2014,4,1,0,0,18,7,6,4,12,16,5,7,1,4,0,0
Coventry,Yeovil,13/09/2014,2,1,1,0,14,7,6,4,6,14,7,2,0,0,0,0
Crawley Town,Fleetwood Town,13/09/2014,1,0,0,0,7,14,1,5,10,8,7,7,1,1,0,0
Crewe,Port Vale,13/09/2014,2,1,2,1,11,14,5,8,10,14,4,7,0,3,0,0
Leyton Orient,Colchester,13/09/2014,0,2,0,0,16,10,5,5,9,14,12,2,2,4,0,1
Oldham,Gillingham,13/09/2014,0,0,0,0,15,5,6,3,3,9,7,0,0,0,0,0
Peterboro,Notts County,13/09/2014,0,0,0,0,9,10,3,1,9,11,7,0,2,1,0,0
Sheffield United,Rochdale,13/09/2014,1,0,0,0,12,11,4,3,12,20,8,6,1,3,0,0
Walsall,Preston,13/09/2014,3,1,1,1,14,13,5,4,10,9,5,3,2,0,0,1
Colchester,Sheffield United,16/09/2014,2,3,1,0,17,15,6,6,8,5,5,5,1,2,0,0
Doncaster,Crawley Town,16/09/2014,0,0,0,0,18,8,4,2,5,16,6,5,1,2,0,0
Gillingham,Peterboro,16/09/2014,2,1,1,1,10,18,3,4,9,11,5,6,1,4,0,0
Milton Keynes Dons,Bradford,16/09/2014,1,2,1,2,14,9,4,7,8,8,14,3,2,3,0,0
Notts County,Leyton Orient,16/09/2014,1,1,1,0,7,16,3,2,20,13,3,9,3,3,0,0
Port Vale,Bristol City,16/09/2014,0,3,0,1,9,14,1,6,6,7,5,1,1,2,0,0
Preston,Chesterfield,16/09/2014,3,3,3,1,11,8,7,3,11,11,4,6,1,2,0,0
Rochdale,Walsall,16/09/2014,4,0,3,0,14,11,6,4,9,8,1,2,0,0,0,0
Scunthorpe,Coventry,16/09/2014,2,1,1,1,9,5,5,2,17,8,6,2,1,0,0,1
Swindon,Oldham,16/09/2014,2,2,1,1,9,8,4,5,6,18,3,9,0,3,0,0
Yeovil,Crewe,16/09/2014,1,1,0,0,14,8,4,5,14,10,9,7,2,0,0,0
Fleetwood Town,Barnsley,17/09/2014,0,0,0,0,20,14,8,4,11,8,7,3,2,1,0,0
Colchester,Bradford,20/09/2014,0,0,0,0,20,5,9,4,4,8,14,3,1,1,0,0
Doncaster,Chesterfield,20/09/2014,3,2,2,1,10,14,5,6,8,11,6,8,1,1,0,0
Fleetwood Town,Bristol City,20/09/2014,3,3,1,1,9,16,7,7,9,10,9,3,0,2,0,0
Gillingham,Walsall,20/09/2014,0,0,0,0,6,10,2,3,6,10,6,5,0,1,0,0
Milton Keynes Dons,Crewe,20/09/2014,6,1,2,1,24,7,14,5,11,5,7,6,0,1,0,0
Notts County,Oldham,20/09/2014,0,0,0,0,4,13,2,5,5,9,5,14,1,2,0,0
Port Vale,Barnsley,20/09/2014,2,1,1,0,19,7,15,6,11,11,8,4,1,2,0,0
Preston,Crawley Town,20/09/2014,2,0,1,0,17,9,7,2,12,14,2,7,3,2,0,0
Rochdale,Coventry,20/09/2014,1,0,1,0,5,7,1,3,17,12,3,1,1,3,0,0
Scunthorpe,Leyton Orient,20/09/2014,1,2,0,1,10,13,3,8,12,11,1,10,2,1,0,0
Swindon,Sheffield United,20/09/2014,5,2,1,0,14,6,9,4,9,14,3,6,1,3,0,0
Yeovil,Peterboro,20/09/2014,1,0,0,0,9,10,3,4,11,6,9,7,2,1,0,0
Barnsley,Swindon,27/09/2014,0,3,0,0,4,11,2,7,10,10,7,7,0,2,0,0
Bradford,Port Vale,27/09/2014,1,1,1,1,14,6,3,1,12,16,6,5,2,3,0,0
Bristol City,Milton Keynes Dons,27/09/2014,3,2,2,0,13,15,5,8,14,5,4,9,2,2,0,0
Chesterfield,Notts County,27/09/2014,1,1,0,1,16,7,7,4,4,10,12,6,2,4,0,0
Coventry,Preston,27/09/2014,0,2,0,0,4,10,0,4,11,15,1,3,4,1,0,0
Crawley Town,Yeovil,27/09/2014,2,0,0,0,13,13,4,5,13,8,3,6,0,1,0,0
Crewe,Colchester,27/09/2014,0,3,0,0,9,13,4,5,7,5,1,10,0,0,0,0
Leyton Orient,Rochdale,27/09/2014,2,3,2,1,16,7,6,3,12,15,5,4,1,3,0,1
Oldham,Scunthorpe,27/09/2014,3,2,1,2,10,5,8,3,8,11,5,1,1,3,0,0
Peterboro,Fleetwood Town,27/09/2014,1,0,1,0,8,11,4,5,9,11,3,4,0,2,0,1
Sheffield United,Gillingham,27/09/2014,2,1,0,0,27,4,7,1,6,9,16,1,0,3,0,0
Walsall,Doncaster,27/09/2014,3,0,1,0,13,8,6,2,8,12,4,2,1,2,0,0
Crewe,Notts County,30/09/2014,0,3,0,1,9,10,4,4,9,18,3,6,2,1,0,0
Bradford,Crewe,04/10/2014,2,0,0,0,14,7,9,6,13,8,14,1,2,1,0,0
Chesterfield,Sheffield United,04/10/2014,3,2,2,0,9,8,5,2,10,6,2,8,2,2,1,1
Coventry,Crawley Town,04/10/2014,2,2,2,2,19,6,3,2,9,16,9,1,2,1,0,0
Fleetwood Town,Port Vale,04/10/2014,1,0,0,0,16,5,7,0,10,10,7,3,0,2,0,1
Leyton Orient,Swindon,04/10/2014,1,2,0,1,14,6,5,4,22,12,4,7,5,3,0,0
Notts County,Gillingham,04/10/2014,1,0,1,0,14,17,6,5,7,9,5,8,2,2,0,0
Peterboro,Oldham,04/10/2014,2,2,1,1,10,9,5,4,10,8,10,3,1,2,0,0
Preston,Colchester,04/10/2014,4,2,2,2,16,13,5,7,7,6,6,10,0,2,0,0
Rochdale,Barnsley,04/10/2014,0,1,0,1,16,10,5,4,10,12,8,8,0,2,0,0
Scunthorpe,Doncaster,04/10/2014,1,2,1,1,14,18,7,11,15,12,3,9,3,2,0,0
Walsall,Bristol City,04/10/2014,1,1,0,1,11,10,6,4,12,7,5,4,1,1,0,0
Yeovil,Milton Keynes Dons,04/10/2014,0,2,0,0,7,7,2,3,19,16,3,4,3,4,1,0
Bristol City,Chesterfield,11/10/2014,3,2,1,1,13,11,4,4,8,8,7,7,0,3,0,0
Colchester,Fleetwood Town,11/10/2014,2,1,1,1,14,13,5,5,4,10,10,8,1,1,0,0
Crawley Town,Peterboro,11/10/2014,1,4,1,2,8,18,2,10,13,13,6,14,2,2,0,0
Crewe,Coventry,11/10/2014,2,1,2,0,9,12,5,4,14,20,4,9,4,1,0,1
Gillingham,Scunthorpe,11/10/2014,0,3,0,1,12,17,4,6,7,11,7,8,1,3,1,0
Oldham,Walsall,11/10/2014,2,1,1,1,14,7,6,1,8,8,11,1,0,2,0,0
Port Vale,Yeovil,11/10/2014,4,1,2,0,19,9,6,3,3,11,4,5,0,2,0,0
Sheffield United,Leyton Orient,11/10/2014,2,2,0,1,15,2,7,2,9,15,13,6,1,4,0,1
Barnsley,Bradford,12/10/2014,3,1,0,1,22,10,8,1,10,11,7,5,2,2,0,0
Bradford,Sheffield United,18/10/2014,0,2,0,0,12,9,5,6,12,9,7,6,3,2,1,0
Chesterfield,Oldham,18/10/2014,1,1,0,0,13,8,7,5,12,10,5,7,2,3,0,0
Coventry,Bristol City,18/10/2014,1,3,0,2,7,7,3,4,9,16,7,6,0,1,0,0
Fleetwood Town,Doncaster,18/10/2014,3,1,2,1,17,15,8,5,14,11,5,3,3,0,0,0
Leyton Orient,Milton Keynes Dons,18/10/2014,0,0,0,0,10,10,5,2,16,18,6,7,1,4,1,0
Notts County,Crawley Town,18/10/2014,5,3,3,0,16,10,10,5,6,10,12,4,2,4,0,0
Peterboro,Barnsley,18/10/2014,2,1,1,1,16,10,6,1,7,9,17,5,0,1,0,1
Preston,Port Vale,18/10/2014,2,0,1,0,23,8,7,2,9,9,8,2,1,2,0,1
Rochdale,Gillingham,18/10/2014,1,1,1,0,20,8,9,2,9,12,12,5,1,1,0,0
Scunthorpe,Colchester,18/10/2014,1,1,1,1,11,15,6,4,10,7,3,6,4,0,0,0
Walsall,Crewe,18/10/2014,0,1,0,0,8,10,3,7,14,5,5,4,0,2,0,0
Yeovil,Swindon,18/10/2014,1,1,1,0,8,10,5,4,19,12,7,1,2,1,0,1
Barnsley,Notts County,21/10/2014,2,3,2,1,11,9,6,3,6,10,8,1,0,1,0,0
Bristol City,Bradford,21/10/2014,2,2,1,1,19,12,6,6,9,8,6,3,1,0,0,0
Colchester,Chesterfield,21/10/2014,2,1,0,1,8,10,4,7,6,8,3,3,1,1,0,0
Crawley Town,Walsall,21/10/2014,1,0,0,0,5,25,3,6,15,12,5,8,3,2,0,0
Crewe,Peterboro,21/10/2014,1,0,1,0,12,11,6,1,11,16,8,11,3,1,0,2
Doncaster,Leyton Orient,21/10/2014,0,2,0,1,8,4,5,2,9,12,3,2,2,2,0,0
Gillingham,Preston,21/10/2014,0,1,0,0,8,17,2,3,12,10,6,5,1,1,0,0
Milton Keynes Dons,Fleetwood Town,21/10/2014,2,1,0,0,17,4,7,3,7,14,10,2,1,5,0,0
Oldham,Coventry,21/10/2014,4,1,3,1,11,4,7,2,6,11,5,2,0,1,0,0
Port Vale,Scunthorpe,21/10/2014,2,2,1,1,11,7,5,4,16,13,6,4,2,2,0,1
Sheffield United,Yeovil,21/10/2014,2,0,1,0,7,9,3,2,8,18,2,7,0,2,0,0
Swindon,Rochdale,21/10/2014,2,3,1,0,14,8,6,6,4,15,7,5,0,2,0,0
Barnsley,Bristol City,25/10/2014,2,2,0,1,13,6,4,2,6,8,5,4,1,0,0,0
Coventry,Peterboro,25/10/2014,3,2,0,2,10,13,6,5,15,12,1,8,3,1,0,0
Crewe,Sheffield United,25/10/2014,0,1,0,0,5,12,4,4,11,10,4,3,1,3,1,0
Doncaster,Milton Keynes Dons,25/10/2014,0,0,0,0,8,14,2,6,16,14,5,10,3,3,0,0
Gillingham,Crawley Town,25/10/2014,1,1,1,1,13,12,5,4,9,13,6,8,1,1,0,0
Oldham,Bradford,25/10/2014,2,1,2,1,17,13,7,5,11,11,7,4,0,1,0,1
Port Vale,Leyton Orient,25/10/2014,3,0,0,0,12,5,5,1,14,13,2,9,2,1,0,1
Preston,Fleetwood Town,25/10/2014,3,2,0,2,17,6,5,2,7,15,8,2,0,3,0,0
Scunthorpe,Notts County,25/10/2014,0,1,0,0,16,10,4,3,12,6,6,7,3,2,0,0
Swindon,Colchester,25/10/2014,2,2,1,0,14,6,7,3,2,7,3,9,0,3,0,0
Walsall,Chesterfield,25/10/2014,1,0,0,0,7,9,3,4,8,13,6,4,0,2,0,0
Yeovil,Rochdale,25/10/2014,0,3,0,2,8,12,3,9,17,11,3,7,2,0,0,0
Chesterfield,Swindon,28/10/2014,0,3,0,2,10,14,2,5,14,8,8,0,3,1,0,0
Leyton Orient,Preston,28/10/2014,0,2,0,1,5,11,2,4,17,12,5,2,4,2,0,0
Bradford,Doncaster,01/11/2014,1,2,1,0,14,8,8,4,15,17,9,2,1,3,0,0
Bristol City,Oldham,01/11/2014,1,0,0,0,8,9,2,1,10,12,6,7,2,1,0,0
Chesterfield,Yeovil,01/11/2014,0,0,0,0,7,11,3,8,11,14,9,4,2,0,0,0
Colchester,Port Vale,01/11/2014,1,2,0,0,16,11,6,4,8,14,5,5,2,4,0,0
Crawley Town,Crewe,01/11/2014,1,1,0,1,13,3,6,2,12,10,6,6,0,0,0,0
Fleetwood Town,Gillingham,01/11/2014,1,0,1,0,12,12,6,7,9,10,7,7,0,0,0,0
Leyton Orient,Coventry,01/11/2014,2,2,0,1,4,10,3,4,15,16,3,4,2,3,0,0
Milton Keynes Dons,Swindon,01/11/2014,2,1,0,1,18,7,7,3,15,13,8,5,5,3,0,0
Notts County,Walsall,01/11/2014,1,2,1,1,13,14,6,8,7,10,7,3,1,1,0,0
Peterboro,Scunthorpe,01/11/2014,1,2,0,1,10,6,5,5,12,10,9,2,1,3,0,0
Rochdale,Preston,01/11/2014,3,0,2,0,12,13,4,2,10,10,1,9,2,2,0,0
Sheffield United,Barnsley,01/11/2014,0,1,0,0,12,8,5,4,11,18,10,4,0,2,0,0
Swindon,Preston,04/11/2014,1,0,0,0,15,9,8,5,7,9,8,6,2,1,0,0
Barnsley,Colchester,14/11/2014,3,2,1,1,8,12,4,7,6,14,5,2,1,0,0,0
Coventry,Notts County,15/11/2014,0,1,0,0,7,8,0,5,17,12,4,4,1,1,0,0
Crewe,Chesterfield,15/11/2014,0,0,0,0,6,9,2,4,7,14,3,9,1,2,0,0
Doncaster,Sheffield United,15/11/2014,0,1,0,0,10,5,5,3,19,13,12,5,4,1,0,1
Gillingham,Leyton Orient,15/11/2014,3,2,0,0,8,9,5,4,8,5,5,5,2,1,1,0
Oldham,Crawley Town,15/11/2014,1,1,1,1,13,3,6,2,6,18,11,2,0,3,0,0
Port Vale,Rochdale,15/11/2014,1,0,0,0,9,12,2,4,7,11,2,4,2,3,0,0
Preston,Bradford,15/11/2014,1,2,0,1,17,13,6,3,9,11,4,11,0,0,0,0
Swindon,Bristol City,15/11/2014,1,0,0,0,16,4,9,1,10,11,8,3,2,2,0,1
Walsall,Peterboro,15/11/2014,0,0,0,0,14,5,2,0,11,14,8,2,2,3,0,0
Yeovil,Fleetwood Town,15/11/2014,0,1,0,0,13,7,4,5,7,8,12,9,2,3,0,0
Bradford,Gillingham,22/11/2014,1,1,0,0,11,9,4,3,5,6,11,7,0,1,0,0
Bristol City,Preston,22/11/2014,0,1,0,1,17,7,4,7,6,20,10,2,0,4,0,0
Chesterfield,Barnsley,22/11/2014,2,1,1,0,10,11,3,5,7,7,6,8,2,1,0,0
Colchester,Coventry,22/11/2014,0,1,0,0,8,11,2,2,7,8,5,7,0,1,0,0
Crawley Town,Scunthorpe,22/11/2014,2,2,0,1,11,10,4,4,12,14,5,7,1,4,0,0
Fleetwood Town,Walsall,22/11/2014,0,1,0,1,8,10,3,2,10,9,9,5,1,0,0,0
Leyton Orient,Crewe,22/11/2014,4,1,2,0,15,10,11,2,16,8,6,4,4,1,0,0
Milton Keynes Dons,Port Vale,22/11/2014,1,0,1,0,18,3,5,1,11,8,8,1,3,0,0,1
Notts County,Yeovil,22/11/2014,1,2,0,0,5,17,3,7,6,17,2,14,1,4,1,0
Peterboro,Swindon,22/11/2014,1,2,0,1,18,14,4,6,15,11,8,0,0,0,0,0
Rochdale,Doncaster,22/11/2014,1,3,1,1,2,13,2,5,7,5,4,11,1,1,1,0
Sheffield United,Oldham,22/11/2014,1,1,0,1,12,11,4,3,7,19,5,6,5,2,0,1
Milton Keynes Dons,Rochdale,25/11/2014,2,2,1,1,27,8,11,1,7,15,12,3,0,4,0,0
Peterboro,Bristol City,28/11/2014,0,3,0,2,6,15,1,7,13,8,5,1,1,0,0,0
Sheffield United,Notts County,28/11/2014,1,1,0,1,19,7,9,5,5,16,11,4,0,2,0,0
Barnsley,Scunthorpe,29/11/2014,1,2,1,2,9,7,3,4,7,8,7,4,2,2,0,0
Bradford,Leyton Orient,29/11/2014,3,1,1,0,19,4,11,1,11,9,9,3,2,1,0,1
Coventry,Walsall,29/11/2014,0,0,0,0,9,9,5,1,12,10,7,4,1,0,0,0
Crawley Town,Chesterfield,29/11/2014,1,1,0,0,7,13,3,4,13,12,4,6,1,1,1,1
Crewe,Doncaster,29/11/2014,1,1,1,0,11,14,5,6,6,9,1,8,1,1,0,0
Gillingham,Port Vale,29/11/2014,2,2,1,1,16,15,8,7,9,8,5,4,1,2,0,0
Milton Keynes Dons,Colchester,29/11/2014,6,0,3,0,25,9,10,1,12,5,4,12,0,2,0,1
Rochdale,Oldham,29/11/2014,0,3,0,1,7,10,1,7,15,5,3,2,2,2,0,0
Swindon,Fleetwood Town,29/11/2014,1,0,0,0,18,6,5,2,10,9,9,4,1,4,0,0
Yeovil,Preston,29/11/2014,0,2,0,1,11,7,0,4,12,16,2,2,0,2,1,0
Barnsley,Doncaster,02/12/2014,1,1,1,0,9,14,3,8,9,7,7,7,1,0,0,0
Sheffield United,Milton Keynes Dons,02/12/2014,0,1,0,0,9,1,4,1,12,15,6,4,2,5,0,1
Bristol City,Crawley Town,13/12/2014,1,0,0,0,19,11,7,0,8,18,14,4,1,1,0,0
Chesterfield,Bradford,13/12/2014,0,1,0,0,9,11,5,4,6,7,6,7,1,4,1,0
Colchester,Rochdale,13/12/2014,1,4,0,3,10,14,6,7,13,13,9,6,2,2,0,0
Doncaster,Gillingham,13/12/2014,1,2,0,0,16,7,8,2,9,11,11,2,1,3,0,0
Fleetwood Town,Sheffield United,13/12/2014,1,1,0,1,13,19,6,6,15,16,2,4,2,2,0,0
Leyton Orient,Peterboro,13/12/2014,1,2,1,1,12,8,5,2,13,16,6,4,1,2,0,1
Notts County,Swindon,13/12/2014,0,3,0,1,9,21,4,9,11,7,2,8,2,2,1,0
Oldham,Yeovil,13/12/2014,0,4,0,3,11,13,2,5,6,13,2,5,0,2,0,0
Port Vale,Coventry,13/12/2014,0,2,0,0,9,12,3,6,9,6,7,3,0,2,0,0
Preston,Milton Keynes Dons,13/12/2014,1,1,0,1,13,11,6,3,11,13,5,6,1,2,0,0
Scunthorpe,Crewe,13/12/2014,2,1,1,1,20,9,6,5,12,9,6,6,0,2,0,0
Walsall,Barnsley,13/12/2014,3,1,2,1,9,15,4,5,5,13,6,4,1,3,0,0
Barnsley,Leyton Orient,20/12/2014,2,0,2,0,7,6,4,2,10,9,2,5,1,2,1,0
Bradford,Scunthorpe,20/12/2014,1,1,1,0,7,10,4,6,9,14,3,8,1,2,0,0
Coventry,Fleetwood Town,20/12/2014,1,1,0,1,16,6,3,3,10,19,6,3,2,1,0,0
Crawley Town,Port Vale,20/12/2014,1,2,0,2,9,12,3,7,8,11,4,3,2,0,0,0
Crewe,Bristol City,20/12/2014,1,0,0,0,14,13,7,3,14,14,3,11,2,0,0,1
Gillingham,Chesterfield,20/12/2014,2,3,0,1,9,10,4,5,9,10,2,4,1,0,0,0
Milton Keynes Dons,Oldham,20/12/2014,7,0,2,0,26,5,14,2,9,13,9,0,2,2,0,0
Peterboro,Preston,20/12/2014,0,1,0,1,12,10,5,5,12,14,7,7,2,3,0,0
Rochdale,Notts County,20/12/2014,2,2,0,1,14,9,4,6,15,9,8,0,3,2,0,0
Sheffield United,Walsall,20/12/2014,1,1,0,0,18,6,4,2,9,8,8,3,0,1,0,0
Swindon,Doncaster,20/12/2014,0,1,0,1,12,8,1,2,9,14,6,6,1,5,0,0
Yeovil,Colchester,20/12/2014,0,1,0,0,11,4,5,3,13,9,5,8,0,0,0,0
Bristol City,Yeovil,26/12/2014,2,1,1,0,10,16,6,3,5,15,5,10,1,4,0,0
Chesterfield,Peterboro,26/12/2014,3,2,2,0,19,6,7,4,8,6,9,2,4,2,0,0
Colchester,Gillingham,26/12/2014,1,2,0,2,18,6,7,4,5,10,7,0,0,3,0,0
Doncaster,Coventry,26/12/2014,2,0,2,0,8,3,3,0,13,11,3,3,1,2,0,2
Fleetwood Town,Bradford,26/12/2014,0,2,0,1,13,12,0,4,13,12,2,2,2,0,0,0
Leyton Orient,Crawley Town,26/12/2014,4,1,2,1,19,7,11,2,10,10,4,4,4,3,0,0
Notts County,Milton Keynes Dons,26/12/2014,0,1,0,1,11,26,4,8,13,10,4,7,1,0,0,0
Oldham,Crewe,26/12/2014,1,2,0,0,20,6,9,3,15,9,11,3,0,1,0,1
Port Vale,Sheffield United,26/12/2014,2,1,1,0,9,7,4,4,5,9,8,9,2,0,0,1
Preston,Barnsley,26/12/2014,1,0,1,0,20,8,7,3,10,9,10,1,2,2,0,0
Scunthorpe,Rochdale,26/12/2014,2,1,0,0,7,10,3,5,15,17,9,6,1,1,0,0
