HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Sheffield United,Crewe,26/10/2013,3,1,2,0,11,9,8,3,18,12,3,3,0,1,0,0
Stevenage,Crawley Town,26/10/2013,2,0,1,0,5,13,3,3,13,11,8,13,2,2,0,0
Tranmere,Milton Keynes Dons,26/10/2013,3,2,1,1,10,18,3,5,4,11,5,5,1,1,0,0
Walsall,Coventry,26/10/2013,0,1,0,0,6,9,2,4,7,13,4,10,1,1,0,0
Notts County,Oldham,29/10/2013,3,2,1,1,15,12,6,2,15,15,7,6,1,1,0,0
Bristol City,Oldham,02/11/2013,1,1,1,0,7,16,3,2,13,11,2,8,1,2,0,0
Coventry,Notts County,02/11/2013,3,0,0,0,18,3,11,0,13,12,6,2,2,2,0,1
Crawley Town,Brentford,02/11/2013,0,1,0,1,8,9,2,1,10,13,4,5,0,3,0,0
Crewe,Bradford,02/11/2013,0,0,0,0,9,15,4,5,7,10,8,7,0,2,0,0
Gillingham,Carlisle,02/11/2013,1,0,0,0,3,10,1,2,13,12,0,9,1,3,1,1
Milton Keynes Dons,Walsall,02/11/2013,1,0,0,0,6,10,1,1,9,8,3,5,1,0,0,0
Peterboro,Leyton Orient,02/11/2013,1,3,1,1,10,20,3,9,16,9,6,9,2,2,0,0
Preston,Tranmere,02/11/2013,1,1,0,0,16,6,7,3,16,9,4,3,3,2,0,0
Rotherham,Colchester,02/11/2013,2,2,2,1,16,10,7,3,14,8,5,4,2,3,0,0
Shrewsbury,Sheffield United,02/11/2013,2,0,1,0,4,14,2,2,10,9,1,6,0,1,0,1
Swindon,Port Vale,02/11/2013,5,2,1,0,12,6,11,2,5,16,4,0,1,3,0,0
Wolves,Stevenage,02/11/2013,2,0,1,0,10,13,3,5,11,14,5,6,2,1,0,0
Bristol City,Crawley Town,05/11/2013,2,0,0,0,11,8,6,2,9,11,3,3,2,0,0,0
Carlisle,Wolves,05/11/2013,2,2,1,2,9,11,4,6,8,16,6,6,0,1,0,0
Brentford,Crewe,16/11/2013,5,0,1,0,17,5,9,1,17,9,1,4,1,3,0,0
Carlisle,Crawley Town,16/11/2013,1,1,0,0,6,2,2,1,5,10,5,4,0,1,0,0
Colchester,Swindon,16/11/2013,1,2,0,1,10,10,4,4,6,11,5,6,1,2,0,0
Leyton Orient,Preston,16/11/2013,0,1,0,1,5,11,1,4,14,17,5,7,2,3,0,0
Notts County,Wolves,16/11/2013,0,1,0,0,15,11,1,7,8,13,9,5,3,2,0,0
Port Vale,Shrewsbury,16/11/2013,3,1,2,0,11,12,5,5,8,6,11,3,2,1,0,0
Sheffield United,Gillingham,16/11/2013,1,2,1,1,11,3,5,3,8,12,10,1,2,2,0,0
Stevenage,Rotherham,16/11/2013,0,3,0,1,8,9,4,8,13,12,6,6,1,1,0,0
Tranmere,Bristol City,16/11/2013,1,1,1,1,14,7,5,5,5,13,8,3,1,2,0,0
Bradford,Coventry,17/11/2013,3,3,2,3,20,19,7,9,11,20,7,9,1,3,0,0
Walsall,Peterboro,18/11/2013,2,0,1,0,24,5,11,3,9,16,4,4,0,2,0,1
Bristol City,Sheffield United,23/11/2013,0,1,0,0,8,5,2,2,14,13,5,0,0,2,0,0
Coventry,Tranmere,23/11/2013,1,5,0,3,11,7,4,5,7,7,7,5,1,1,0,1
Crawley Town,Walsall,23/11/2013,0,0,0,0,9,9,2,3,9,10,2,4,1,2,0,0
Crewe,Port Vale,23/11/2013,1,2,1,1,12,10,3,5,11,11,5,8,1,0,0,0
Gillingham,Oldham,23/11/2013,0,1,0,0,4,11,1,6,15,7,2,9,3,3,0,1
Milton Keynes Dons,Bradford,23/11/2013,2,3,1,2,20,9,8,4,12,21,7,6,2,2,0,0
Peterboro,Stevenage,23/11/2013,0,1,0,1,8,7,2,3,17,16,3,4,2,5,0,1
Preston,Colchester,23/11/2013,1,1,1,0,26,4,7,1,7,15,14,1,0,0,0,0
Rotherham,Carlisle,23/11/2013,0,0,0,0,19,6,6,2,12,15,6,6,0,0,0,1
